Gene	Probe	lm_ethnicity_pvalue.adj_batch_year	lm_ethnicity_fdr.adj_batch_year	lm_ethnicity_pvalue.adj_PCA	lm_ethnicity_fdr.adj_PCA	lm_PC1_pvalue	lm_PC1_fdr	lm_PC2_pvalue	lm_PC2_fdr
CD38	205692_s_at	7.91080220605957e-05	0.00688440033922036	0.0100146085109278	0.068313410515674	1.32854000755951e-05	3.69445043847906e-05	2.14156879074201e-05	3.51059179287742e-05
FCER2	206760_s_at	0.000212337429519443	0.0136283431953611	3.65178073056195e-05	0.00158177871743011	0.211437456026959	0.268009086729167	0.117020676826682	0.136340640166558
UGT2B17	207245_at	0.330170198579956	0.701159903076955	1.38124940661478e-09	7.59082877022736e-07	0.752636438488422	0.79294120575767	0.0262534520460766	0.0329498435399873
MEIS2	207480_s_at	0.201449499397583	0.593025438287161	1.37515806791168e-07	3.26804456517496e-05	0.0532528421899984	0.0783554620777537	0.575428499393014	0.608215265676496
PTPRO	208121_s_at	0.00312844425113253	0.0913900674425525	2.56855807348696e-07	5.01896247559352e-05	9.70944408962596e-06	2.75137421463361e-05	0.257234186366724	0.288135057416892
STXBP2	209367_at	0.509792228388029	0.804730276141903	0.0474776807239331	0.180801752535965	0.00176576406641277	0.0034937811512078	0.00652775005555085	0.00866261790498923
HDGFRP3	209526_s_at	0.633109096851293	0.864425738144832	1.39299593316531e-13	4.08287108010752e-10	0.000423794838670078	0.000929515594019954	0.945394829581675	0.951127773056255
IGF1	209541_at	0.0018217459301988	0.0625727029853048	1.33297767180711e-06	0.000152219125561037	0.00549359043835233	0.00992095722415939	0.0022469331337085	0.00310258841782331
CLEC2B	209732_at	0.000242390573096993	0.0150094387974779	2.75470873313916e-10	2.3129583860264e-07	0.00537966987884668	0.00974524871131003	0.0597593854216114	0.0721494268862048
RGS20	210138_at	0.00616745592598393	0.133902320881918	5.1596815650308e-13	1.1342270000329e-09	0.0016532748756911	0.00328847633653904	0.000302149719124714	0.000450381841034685
PDE4B	211302_s_at	0.15459763577312	0.54810179271204	0.671522102890845	0.832585145335476	2.5334434040149e-21	6.03701025785989e-20	0.0978746662330554	0.115178257519708
ROBO1	213194_at	1.10902547487644e-07	3.41528108487324e-05	7.22139567496128e-05	0.00255010972570018	0.416515041739665	0.482150705900062	0.46259787628141	0.497021398600005
ATP8B1	214594_x_at	0.535307932343811	0.819962526519765	0.808205063268728	0.907720924935742	2.51282270111297e-29	1.95533185937047e-27	0.0113959673635667	0.0148034777704007
COPG1	217749_at	0.146040360994198	0.539357263538973	0.00380900353856066	0.0367136789046402	1.15510369216001e-07	4.33496660911779e-07	2.01072556694989e-05	3.30226184351707e-05
ARPC4	217817_at	0.179601342005703	0.572186449368169	0.000257624245467552	0.00596589928434092	4.42082004810323e-05	0.000113099420084294	0.2812482320767	0.312921131804431
LPAR6	218589_at	0.394779286006331	0.742840629542835	0.0333753681493968	0.145071295295072	0.00312601752228605	0.00590865693754541	0.0830535651393709	0.0985413572082699
EXOC5	218748_s_at	0.428930001417517	0.759389795833969	0.170412907432282	0.394027529154481	4.64506418463286e-22	1.2567399807839e-20	0.00228513716125093	0.0031548455108933
RRP1	218758_s_at	0.50734316407412	0.803468477691233	0.434589886770032	0.665289468809039	2.24017039955615e-27	1.36790405022898e-25	0.0144790280828799	0.0186486149015326
CLEC2D	220132_s_at	2.63039324824838e-05	0.00292772757365165	0.0111172780323699	0.0729509147303199	9.04268560342748e-05	0.000220500095704209	8.11730697461444e-05	0.000127229020013877
TMPRSS3	220177_s_at	0.0710388772477808	0.417911252581854	8.27270802395902e-05	0.00277758855440435	0.0743470862084737	0.106091192637311	0.259458949276536	0.29036814827397
LEF1	221558_s_at	0.00277061716403038	0.0842977049249798	0.226329377687766	0.465353465872052	0.000607296773881799	0.00130084300432221	0.0538479313554015	0.0653533278686053
